"","gene","cluster","external_gene_name"
"433","ENSMUSG00000014725",1,"Adam28"
"434","ENSMUSG00000014763",1,"Fam120b"
"435","ENSMUSG00000014767",1,"Tbp"
"436","ENSMUSG00000014771",1,"Pdcd2"
"437","ENSMUSG00000014813",1,"Stc1"
"438","ENSMUSG00000014859",1,"E2f4"
"439","ENSMUSG00000014867",1,"Surf4"
"440","ENSMUSG00000014873",1,"Surf2"
"441","ENSMUSG00000014905",1,"Dnajb9"
"442","ENSMUSG00000014907",1,"Naf1"
"443","ENSMUSG00000014932",1,"Yes1"
"444","ENSMUSG00000014956",1,"Ppp1cb"
"445","ENSMUSG00000014959",1,"Gorasp2"
"446","ENSMUSG00000015002",1,"Efr3a"
"447","ENSMUSG00000015023",1,"Ddx19a"
"448","ENSMUSG00000015087",1,"Rabl6"
"449","ENSMUSG00000015112",1,"Slc25a13"
"450","ENSMUSG00000015120",1,"Ube2i"
"451","ENSMUSG00000015126",1,"Tsr3"
"452","ENSMUSG00000015134",1,"Aldh1a3"
"453","ENSMUSG00000015176",1,"Nolc1"
"454","ENSMUSG00000015312",1,"Gadd45b"
"455","ENSMUSG00000015341",1,"Golga7"
"456","ENSMUSG00000015354",1,"Pcolce2"
"457","ENSMUSG00000015363",1,"Trabd"
"458","ENSMUSG00000015396",1,"Cd83"
"459","ENSMUSG00000015461",1,"Atf6b"
"460","ENSMUSG00000015488",1,"Cacfd1"
"461","ENSMUSG00000015501",1,"Hivep2"
"462","ENSMUSG00000015533",1,"Itga2"
"463","ENSMUSG00000015605",1,"Srf"
"464","ENSMUSG00000015619",1,"Gata3"
"465","ENSMUSG00000015652",1,"Steap1"
"466","ENSMUSG00000015672",1,"Mrpl32"
"467","ENSMUSG00000015711",1,"Prune1"
"468","ENSMUSG00000015714",1,"Cers2"
"469","ENSMUSG00000015733",1,"Capza2"
"470","ENSMUSG00000015748",1,"Prpf3"
"471","ENSMUSG00000015749",1,"Anp32e"
"472","ENSMUSG00000015757",1,"Ppil4"
"473","ENSMUSG00000015759",1,"Cnih1"
"474","ENSMUSG00000015766",1,"Eps8"
"475","ENSMUSG00000015776",1,"Med22"
